,Date,LST,County_FIP
381,2020-12-27,277.25666666666666,067
439,2020-12-28,285.32191560616207,067
497,2020-12-29,283.99309007981753,067
555,2020-12-30,286.02273449920517,067
613,2020-12-31,281.90185792349723,067
34,2020-12-21,292.9051154458599,069
92,2020-12-22,285.9661801801802,069
150,2020-12-23,283.0768674698795,069
208,2020-12-24,283.5575138121547,069
266,2020-12-25,288.08546089385476,069
324,2020-12-26,282.8512031047866,069
382,2020-12-27,286.290314673733,069
440,2020-12-28,284.765232868585,069
498,2020-12-29,283.41364877161055,069
556,2020-12-30,285.78751173708923,069
614,2020-12-31,282.99402448355005,069
35,2020-12-21,295.6228829268955,071
93,2020-12-22,294.0849685875434,071
151,2020-12-23,289.9323146154718,071
209,2020-12-24,,071
267,2020-12-25,291.3059088987231,071
325,2020-12-26,287.1578005744768,071
383,2020-12-27,289.7485137916838,071
441,2020-12-28,285.1600989515844,071
499,2020-12-29,286.8100079267854,071
557,2020-12-30,287.0834794785263,071
615,2020-12-31,285.36564574433123,071
36,2020-12-21,298.51202110817945,073
94,2020-12-22,295.47442141863695,073
152,2020-12-23,,073
210,2020-12-24,,073
268,2020-12-25,294.7483154691015,073
326,2020-12-26,,073
384,2020-12-27,293.6390414746544,073
442,2020-12-28,287.62640287769784,073
500,2020-12-29,287.1378669669428,073
558,2020-12-30,287.18454175484294,073
616,2020-12-31,286.7245454545455,073
37,2020-12-21,287.04094117647065,075
95,2020-12-22,285.5738285714286,075
153,2020-12-23,286.5755952380952,075
211,2020-12-24,284.33245508982037,075
269,2020-12-25,,075
327,2020-12-26,286.91421686746986,075
385,2020-12-27,274.06,075
443,2020-12-28,283.7757894736842,075
501,2020-12-29,286.87649635036496,075
559,2020-12-30,286.03547619047623,075
617,2020-12-31,283.21040000000005,075
38,2020-12-21,290.3969230769231,077
96,2020-12-22,,077
154,2020-12-23,284.477988700565,077
212,2020-12-24,283.73111111111115,077
270,2020-12-25,284.72117647058826,077
328,2020-12-26,285.44964241676945,077
386,2020-12-27,279.52516129032256,077
444,2020-12-28,284.2978708010336,077
502,2020-12-29,283.8744693140794,077
560,2020-12-30,283.19210302575647,077
618,2020-12-31,281.1130906990179,077
39,2020-12-21,296.47931798511337,079
97,2020-12-22,291.4207849580139,079
155,2020-12-23,289.40905152093393,079
213,2020-12-24,286.31042071197413,079
271,2020-12-25,294.3690991810737,079
329,2020-12-26,285.73872357723576,079
387,2020-12-27,290.483374782725,079
445,2020-12-28,279.1952212389381,079
503,2020-12-29,284.8194174252275,079
561,2020-12-30,286.7801220428089,079
619,2020-12-31,284.7780362249762,079
40,2020-12-21,288.4692878880098,081
