NDVI,LST,TA,Class
0.370961674,301.5640695,5,No_fire
0.370636202,299.881529,5,No_fire
0.37031073,300.1355217,5,No_fire
0.370536884,296.3769849,5,No_fire
0.370763038,298.5111508,5,No_fire
0.370989192,292.5827646,5,No_fire
0.371215346,300.7742922,5,No_fire
0.3714415,302.14414,5,No_fire
0.371667655,303.9165096,5,No_fire
0.371893809,304.0418797,5,No_fire
0.372119963,300.4133686,5,Fire
0.372346117,306.8035485,5,Fire
0.372572271,301.06886,5,Fire
0.372798425,294.9823675,5,Fire
0.373024579,297.500634,5,No_fire
0.373250733,295.5931062,5,No_fire
0.373476887,295.5730842,5,No_fire
0.373703042,295.7040518,5,No_fire
0.373929196,298.9119377,5,No_fire
0.376231812,293.8810379,5,No_fire
0.378534428,300.8056767,5,No_fire
0.380837044,298.7454387,5,No_fire
0.383139661,299.7011128,5,No_fire
0.385442277,296.4985574,5,No_fire
0.387744893,298.6544526,5,No_fire
0.390047509,298.1534029,5,No_fire
0.392350125,296.947133,5,No_fire
0.394652742,298.2212769,5,No_fire
0.396955358,295.1060537,5,No_fire
0.399257974,291.9908306,5,No_fire
0.40156059,292.9815951,5,No_fire
0.403863206,293.9723596,5,No_fire
0.406165823,294.5337998,5,No_fire
0.408468439,293.2502234,5,No_fire
0.410771055,297.719479,5,No_fire
0.416896789,294.604657,5,No_fire
0.423022523,293.3971553,5,No_fire
0.429148257,290.1199676,5,No_fire
0.435273991,292.0886161,5,No_fire
0.441399725,292.7785897,5,No_fire
0.44752546,292.8638312,5,No_fire
0.453651194,294.7487807,5,No_fire
0.459776928,290.1746871,5,No_fire
0.465902662,288.4706165,5,No_fire
0.472028396,286.7665459,5,No_fire
0.47815413,285.0624752,5,No_fire
0.484279864,285.5467084,5,No_fire
0.490405598,286.3688544,5,No_fire
0.496531332,287.1910004,4,No_fire
0.502657066,288.0131465,4,No_fire
0.5087828,288.8352925,5,No_fire
0.511612917,285.1191356,5,No_fire
0.514443034,281.4029787,5,No_fire
0.517273151,287.4709426,5,No_fire
0.520103269,288.2400845,5,No_fire
0.522933386,286.1391715,5,No_fire
0.525763503,286.4279026,5,No_fire
0.52859362,288.9370026,5,No_fire
0.531423737,287.1485013,5,No_fire
0.534253854,285.36,5,No_fire
0.537083971,286.1833486,5,No_fire
0.539914088,287.0066972,5,No_fire
0.542744205,284.6216924,5,No_fire
0.545574322,286.1274614,5,No_fire
0.54840444,283.6377383,4,No_fire
0.551234557,281.1480153,5,No_fire
0.554064674,288.0355366,5,No_fire
0.556023085,285.6697376,5,No_fire
0.557981497,283.3039386,4,No_fire
0.559939909,280.9381395,5,No_fire
0.561898321,285.0735333,5,No_fire
0.563856732,285.283377,5,No_fire
0.565815144,285.4932206,5,No_fire
0.567773556,285.7030642,5,No_fire
0.569731968,283.8809975,5,No_fire
0.571690379,286.9353713,5,No_fire
0.573648791,286.4144532,5,No_fire
0.575607203,285.893535,5,No_fire
0.577565614,284.3220738,5,No_fire
0.579524026,283.4868478,5,No_fire
0.5809964,284.4056919,5,No_fire
0.582468773,280.3420952,5,No_fire
0.583941147,286.8214722,5,No_fire
0.58541352,285.3227125,5,No_fire
0.586885894,287.3591429,5,No_fire
0.588358267,286.5091423,5,No_fire
0.589830641,285.2639804,5,No_fire
0.591303014,284.0188186,5,No_fire
0.592775388,286.0882801,5,No_fire
0.594247762,285.4648372,5,No_fire
0.595720135,285.5648401,5,No_fire
0.597192509,285.664843,5,No_fire
0.598664882,282.2239634,5,No_fire
0.600137256,277.5814356,5,No_fire
0.601609629,280.7372731,5,No_fire
0.603082003,283.8931105,5,No_fire
0.603011069,282.21454,5,No_fire
0.602940135,279.6430267,5,No_fire
0.602869201,277.0715133,4,No_fire
0.602798267,274.5,5,No_fire
0.602727333,287.8807904,5,No_fire
0.602656399,287.8098449,5,No_fire
0.602585464,287.7388994,5,No_fire
0.60251453,288.8430346,5,No_fire
0.602443596,289.681626,5,No_fire
0.602372662,286.9280161,5,No_fire
0.602301728,286.4227094,5,No_fire
0.602230794,285.9174026,5,No_fire
0.60215986,287.1368285,5,No_fire
0.602088926,288.3562544,5,No_fire
0.602017992,289.7337021,5,No_fire
0.601947058,287.5180009,5,No_fire
0.59925078,285.0724306,5,No_fire
0.596554501,285.4428404,5,No_fire
0.593858222,289.2037316,5,No_fire
0.591161944,289.5456273,5,No_fire
0.588465665,292.484121,5,No_fire
0.585769386,290.4642319,5,No_fire
0.583073108,287.9413404,5,No_fire
0.580376829,292.3524773,5,No_fire
0.57768055,293.6130728,5,No_fire
0.574984272,294.1806248,5,No_fire
0.572287993,289.6395096,5,No_fire
0.569591714,284.7192308,5,No_fire
0.566895436,291.1800463,5,No_fire
0.564199157,287.1328384,5,No_fire
0.561502878,292.9061244,5,No_fire
0.558806599,293.008234,5,No_fire
0.557947742,293.3058405,5,No_fire
0.557088885,288.2363767,5,No_fire
0.556230028,295.4318018,5,No_fire
0.555371171,293.7065482,5,No_fire
0.554512313,290.4931839,5,No_fire
0.553653456,294.4695557,5,No_fire
0.552794599,297.2223392,5,No_fire
0.551935742,298.3642518,5,No_fire
0.551076885,297.3561476,5,No_fire
0.550218027,292.3017626,5,No_fire
0.54935917,292.5651876,5,No_fire
0.548500313,291.3687483,5,No_fire
0.547641456,290.172309,5,No_fire
0.546782599,299.465797,5,No_fire
0.545923741,297.3328972,5,No_fire
0.545064884,294.1553496,5,No_fire
0.549329792,286.4065734,5,No_fire
0.553594699,287.38,5,No_fire
0.557859607,281.26,5,No_fire
0.562124514,289.1418834,5,No_fire
0.566389422,295.0137965,5,No_fire
0.570654329,295.1680499,5,No_fire
0.574919237,300.4284107,5,No_fire
0.579184144,297.7260794,5,No_fire
0.583449052,296.1701371,5,No_fire
0.58771396,294.6141948,5,No_fire
0.591978867,293.0582525,5,No_fire
0.596243775,291.5023102,5,No_fire
0.600508682,292.8138572,5,No_fire
0.60477359,294.1254043,5,No_fire
0.609038497,292.4025702,5,No_fire
